name,value,year
Shell,4387,2010.8
Shell,4435,2010.9
Shell,4483,2011
Shell,4513.5,2011.1
Shell,4544,2011.2
Shell,4574.5,2011.3
Shell,4605,2011.4
Shell,4635.5,2011.5
Shell,4666,2011.6
Shell,4696.5,2011.7
Shell,4727,2011.8
Shell,4757.5,2011.9
Shell,4788,2012
Shell,4862.7,2012.1
Shell,4937.4,2012.2
Shell,5012.1,2012.3
Shell,5086.8,2012.4
Shell,5161.5,2012.5
Shell,5236.2,2012.6
Shell,5310.9,2012.7
Shell,5385.6,2012.8
Shell,5460.3,2012.9
Shell,5535,2013
Shell,5610.3,2013.1
Shell,5685.6,2013.2
Shell,5760.9,2013.3
Shell,5836.2,2013.4
Shell,5911.5,2013.5
Shell,5986.8,2013.6
Shell,6062.1,2013.7
Shell,6137.4,2013.8
Shell,6212.7,2013.9
Shell,6288,2014
Shell,6212.2,2014.1
Shell,6136.4,2014.2
Shell,6060.6,2014.3
Shell,5984.8,2014.4
Shell,5909,2014.5
Shell,5833.2,2014.6
Shell,5757.4,2014.7
Shell,5681.6,2014.8
Shell,5605.8,2014.9
Shell,5530,2015
Shell,5436.9,2015.1
Shell,5343.8,2015.2
Shell,5250.7,2015.3
Shell,5157.6,2015.4
Shell,5064.5,2015.5
Shell,4971.4,2015.6
Shell,4878.3,2015.7
Shell,4785.2,2015.8
Shell,4692.1,2015.9
Shell,4599,2016
Shell,4621.4,2016.1
Shell,4643.8,2016.2
Shell,4666.2,2016.3
Shell,4688.6,2016.4
Shell,4711,2016.5
Shell,4733.4,2016.6
Shell,4755.8,2016.7
Shell,4778.2,2016.8
Shell,4800.6,2016.9
Shell,4823,2017
Shell,4868.3,2017.1
Shell,4913.6,2017.2
Shell,4958.9,2017.3
Shell,5004.2,2017.4
Shell,5049.5,2017.5
Shell,5094.8,2017.6
Shell,5140.1,2017.7
Shell,5185.4,2017.8
Shell,5230.7,2017.9
Shell,5276,2018
Siemens,NA,2000
Siemens,NA,2000.1
Siemens,NA,2000.2
Siemens,NA,2000.3
Siemens,NA,2000.4
Siemens,NA,2000.5
Siemens,NA,2000.6
Siemens,NA,2000.7
Siemens,NA,2000.8
Siemens,NA,2000.9
Siemens,NA,2001
Siemens,NA,2001.1
Siemens,NA,2001.2
Siemens,NA,2001.3
Siemens,NA,2001.4
Siemens,NA,2001.5
Siemens,NA,2001.6
Siemens,NA,2001.7
Siemens,NA,2001.8
Siemens,NA,2001.9
Siemens,NA,2002
Siemens,NA,2002.1
Siemens,NA,2002.2
Siemens,NA,2002.3
Siemens,NA,2002.4
Siemens,NA,2002.5
Siemens,NA,2002.6
Siemens,NA,2002.7
Siemens,NA,2002.8
Siemens,NA,2002.9
Siemens,NA,2003
Siemens,NA,2003.1
Siemens,NA,2003.2
Siemens,NA,2003.3
Siemens,NA,2003.4
Siemens,NA,2003.5
Siemens,NA,2003.6
Siemens,NA,2003.7
Siemens,NA,2003.8
Siemens,NA,2003.9
Siemens,7470,2004
Siemens,7473.7,2004.1
Siemens,7477.4,2004.2
Siemens,7481.1,2004.3
